web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image
"1776069304-47","https://www.kikidrop.com/en/list","Coastal Palm Coffee","Waafi résidence  La corniche","40 mins","13.35 Km","","","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-a6s6kdljQdCPQo1756120823914-CoastalPalmCoffee201.avif"
"1776069304-48","https://www.kikidrop.com/en/list","G.S.K RESTAURANT","route de l'aéroport","50 mins","13.36 Km","11:00 -  14:00","4.4","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-bbroy2tz0lPWNl1766829979723-IMG20251213WA0018.avif"
"1776069304-49","https://www.kikidrop.com/en/list","Shakpot - Tacos & more","Gabode 4","40 mins","13.37 Km","11:30 -  14:00","4.4","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-f602pekbi95h261748704443379-shakpot202.avif"
"1776069304-50","https://www.kikidrop.com/en/list","APPETITO RESTAURANT","Hamoudi mall","50 mins","13.37 Km","11:00 -  23:00","4.4","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-3ghkq3ukFbIZax1701647356232-CE8C35DC72A34AF4A950F4BF14841FE7.jpeg"
"1776069304-51","https://www.kikidrop.com/en/list","CTR CHICKEN","hamoudi mall 2éme étage","35 mins","13.37 Km","11:00 -  21:45","3.6","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-cc2ez3mwgkzeml1735498944238-3.jpg"
"1776069304-52","https://www.kikidrop.com/en/list","Cosmo","Dibouti","1 hr","13.39 Km","09:30 -  13:30","","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-37u1h1ziTmV4MX1772113835043-cosmoblue20registered206.avif"
"1776069304-53","https://www.kikidrop.com/en/list","LA FONTAINE","Rue de paris","40 mins","13.39 Km","09:00 -  22:30","4.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-kcewxmm5nkMrCA1630321573983-LaFontaine5B150325D.jpg"
"1776069304-54","https://www.kikidrop.com/en/list","PHARMACIE LA NATION","CENTRE VILLE","40 mins","13.40 Km","08:00 -  13:00","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-eumxbf0zgaP3x31701646584152-Untitled20design.jpeg"
"1776069304-55","https://www.kikidrop.com/en/list","The First Coffee","route de l'aéroport","40 mins","13.44 Km","08:00 -  23:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-b6hldpknb2Wizw1758645619867-IMG20250917WA0028.avif"
"1776069304-56","https://www.kikidrop.com/en/list","JANATEYN","Centre national de tennis à djibouti","50 mins","13.45 Km","11:00 -  22:30","4.6","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-4bdgxpw2BjxWNr1637510615738-Jantayen5B169925D.jpg"
"1776069304-57","https://www.kikidrop.com/en/list","PAUSE CAFE","-","50 mins","13.48 Km","08:00 -  21:00","2.8","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-gth2p9uyCiybFs1648845292547-WhatsApp20Image202022033120at2021.09.34201.jpeg"
"1776069304-58","https://www.kikidrop.com/en/list","PIZZA HUT GABODE","WAAFI RESIDENCE","40 mins","13.51 Km","10:00 -  22:30","3.6","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-qx0td2jf84nNnS1706890460657-LOGO.png"
"1776069304-59","https://www.kikidrop.com/en/list","V.P SINGH RESTAURANT","Place du 27 Juin","50 mins","13.52 Km","11:00 -  15:10","4.3","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-4vky3w9x9ea7Ss1706292072527-361C67F15E684B549B40275A734CA18D.jpeg"
"1776069304-60","https://www.kikidrop.com/en/list","PHARMACIE INTERNATIONAL","Centre-ville","35 mins","13.53 Km","08:00 -  13:00","2.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-7nqyn0nnN4lEXv1725789627549-PharmacyInternational.jpg"
"1776069304-61","https://www.kikidrop.com/en/list","Djollof kitchen","Centre ville rue en face restaurant santal","1 hr","13.53 Km","08:00 -  23:59","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-bkzzl5y8paDna11771852925062-Djollof.avif"
"1776069304-62","https://www.kikidrop.com/en/list","WALLY SHOP","Rue de londres","40 mins","13.54 Km","10:00 -  13:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-e5g9guunreOi1i1706292136745-2B063E3DD58344219FBE814C207CA850.jpeg"
"1776069304-63","https://www.kikidrop.com/en/list","Pizzaiolo Centre ville","djibouti","1 hr, 5 mins","13.56 Km","11:00 -  15:00","4.3","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2ulu5bt6CgIumc1628420496240-Pizzaiolo5B140475D.jpg"
"1776069304-64","https://www.kikidrop.com/en/list","LA CHAUMIERE","-","50 mins","13.58 Km","11:00 -  23:00","4.2","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2gdvdtonyc5k8i1588166044027-Lachaumiere1.jpg"
"1776069304-65","https://www.kikidrop.com/en/list","LA FUSION","Hypermarché Al gamil","50 mins","13.58 Km","11:00 -  15:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-ksg7kvd10dr3D91765796035747-WhatsApp20Image202025121520at2013.51.59.avif"
"1776069304-66","https://www.kikidrop.com/en/list","RESTAURANT BONNE FAMILLE","Avenue 13","40 mins","13.60 Km","11:00 -  14:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-fb4q1vskrcN1HZ1725789127716-BonneFamille.jpg"
"1776069304-67","https://www.kikidrop.com/en/list","Han's Cake","centre ville","50 mins","13.62 Km","08:00 -  22:30","4.6","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-ir81nsng4auMNQ1627124846251-WhatsApp20Image202021071520at2015.02.30.jpeg"
"1776069304-68","https://www.kikidrop.com/en/list","Star Coffee","Atlantic Hotel, Djibouti, Djibouti, Djibouti","45 mins","13.64 Km","08:00 -  23:00","3.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-58whv0fi4boBpF1736700218726-IMG20250111150028348.webp"
"1776069304-69","https://www.kikidrop.com/en/list","K La Gourmande","Quartier 3 devant l'hôpital de Hallas","55 mins","13.69 Km","","","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-d5saxsemh25hVG1771853079016-LaGourmande.avif"
"1776069304-70","https://www.kikidrop.com/en/list","DJIB BURGER","En face de pizzaiolo centre-ville","50 mins","13.73 Km","08:00 -  23:59","4.9","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-hluwqsifhaWWce1664693915499-WhatsApp20Image202022100220at2009.23.27.jpeg"
"1776069304-71","https://www.kikidrop.com/en/list","Seven Restaurant","aviation, jules verne","50 mins","13.74 Km","11:30 -  23:59","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-kb5yysx70hIRj71737526353370-Seven.jpg"
"1776069304-72","https://www.kikidrop.com/en/list","Warso Khat","Rue Bender Jedid","35 mins","13.74 Km","10:00 -  23:59","4.9","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-bs1vvz0qbiyOmo1633527444723-8.jpg"
"1776069304-73","https://www.kikidrop.com/en/list","Bunna House Venise","Route de venise","50 mins","13.83 Km","08:00 -  22:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-1mjty53xgjgaBj1760947358637-finallogo201.avif"
"1776069304-74","https://www.kikidrop.com/en/list","Pâtisserie Napoléon","Napoléon","40 mins","13.86 Km","08:00 -  22:30","3.7","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-iv65au8qt31KGg1677667104707-0F7B387AF56B4703B791CEF1B609ED43.jpeg"
"1776069304-75","https://www.kikidrop.com/en/list","LET'S VAPE","Napoleon","40 mins","13.86 Km","07:30 -  23:59","4.3","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2yfohs68ikdc4t1700139869410-LetsVape.jpg"
"1776069304-76","https://www.kikidrop.com/en/list","Baby Station","Napoleon","35 mins","13.86 Km","08:00 -  23:59","4.8","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-eahsu3onHaLn8x1706292107936-30E896E5AAE645B7AE067760E38CB881.jpeg"
"1776069304-77","https://www.kikidrop.com/en/list","Zawam honey","Djibouti Q3","35 mins","13.86 Km","","","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-bngrwewa9loojn1765010160902-Zawam201.avif"
"1776069304-78","https://www.kikidrop.com/en/list","DELUXE","Route de venise","50 mins","13.94 Km","10:00 -  23:30","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-4i6u3t8sbfhh3a1681388254547-WhatsApp20Image202023041320at2015.15.25.jpeg"
"1776069304-79","https://www.kikidrop.com/en/list","Karim flowers","Route du Kempinski","35 mins","14.11 Km","08:00 -  13:00","4.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-63tobwbaTfS0fN1682406283235-WhatsApp20Image202023042320at2018.34.411.jpeg"
"1776069304-80","https://www.kikidrop.com/en/list","Café Barbera- SVAMC Boulaous","Boulaos","37 mins","14.14 Km","08:00 -  22:00","4.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-ad9jz8vdChF1hD1710011486835-5AA49D3FEAE7447FA7C864F2A000EC51.jpeg"
"1776069304-81","https://www.kikidrop.com/en/list","Signatures","BCIMR bank to cash center road, heron","40 mins","14.17 Km","11:10 -  14:45","4.8","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-gqs4zc4mLbQMXw1647675165550-IMG20220319WA0011.jpg"
"1776069304-82","https://www.kikidrop.com/en/list","Sing's Paradise","HERON","50 mins","14.18 Km","09:00 -  13:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-hyr1pbbfDc7a2f1600623444832-Untitleddesign97.jpg"
"1776069304-83","https://www.kikidrop.com/en/list","ETHIOPIAN RESTAURANT","-","50 mins","14.23 Km","11:00 -  23:00","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-j3wtcd3xe94XRD1593957738492-CopyofUntitled3.jpg"
"1776069304-84","https://www.kikidrop.com/en/list","Pizzailo Heron","héron","40 mins","14.39 Km","11:00 -  23:00","2.9","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-r5yyskrM1msWUl1753810756217-WhatsApp20Image202025072920at2020.37.34.avif"
"1776069304-85","https://www.kikidrop.com/en/list","LA CAFET","CASINO DJIBOUTI","50 mins","14.39 Km","08:00 -  20:00","3.1","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-d9fhjg3j8fQXFZ1601459597782-LACAFET1.png"
"1776069304-86","https://www.kikidrop.com/en/list","Snack Attack","Place La Garde","40 mins","14.49 Km","08:30 -  23:59","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-9ce72npfN4XvhD1754118599008-SnackAttack.avif"
"1776069304-87","https://www.kikidrop.com/en/list","BAIT AL MANDI","-","55 mins","14.49 Km","11:00 -  22:00","4.6","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-fhuyxe4qu95src1726830537049-IMG20240914WA0010.jpg"
"1776069304-88","https://www.kikidrop.com/en/list","LAVAZZA CAFE","Djibouti","50 mins","14.56 Km","10:00 -  18:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2mofm0zilbU7Oe1714739473864-Lavazza.jpg"
"1776069304-89","https://www.kikidrop.com/en/list","PIZZAIOLO HARAMOUS","Haramous, Djibouti","50 mins","14.77 Km","11:00 -  22:30","4.8","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-63o5vo8c5igGvD1775987855020-pizzaiolo.avif"
"1776069304-90","https://www.kikidrop.com/en/list","Villa camille","djib","50 mins","14.82 Km","08:30 -  15:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-dha2zirsL58SM91757511708798-VC.avif"
"1776069304-91","https://www.kikidrop.com/en/list","RESTAURANT ZHONG HUA","heron","50 mins","14.91 Km","11:30 -  14:00","4.2","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-cwm6zcwn79Vi5A1636883766166-WhatsApp20Image202021111320at203.01.1920PM.jpeg"
"1776069304-92","https://www.kikidrop.com/en/list","THE CAMEL COFFEE SHOP","Derrière restaurant Longchamps","50 mins","14.91 Km","08:00 -  22:30","4.2","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-ec884fgck6vNTr1665563546622-Coffee5B77355D.jpg"
"1776069304-93","https://www.kikidrop.com/en/list","Soirée marocaine","Sheraton","1 hr, 20 mins","14.97 Km","","","","Sponsored","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-f52ds97yQ4Y84y1775994892969-WhatsApp20Image202026041120at2014.34.19.avif"
"1776069304-94","https://www.kikidrop.com/en/list","Sheraton Djibouti","HERON","50 mins","14.97 Km","08:00 -  21:00","4.3","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2qakbpx9bcLmuI1771487457580-WhatsApp20Image202026021920at2010.47.44.avif"
"1776069304-95","https://www.kikidrop.com/en/list","Glow Orginal Cosmétique","Haramous","25 mins","15.02 Km","00:01 -  23:59","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-gmps42mv15ajxX1769443706102-D74A847DC68E46378B4400B149B4EC08.avif"
"1776069304-96","https://www.kikidrop.com/en/list","ImaanCake","PLATEAU DU SERPENT","2 hrs, 50 mins","15.87 Km","","3.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-88ho23wuw7kGGZ1757485163116-WhatsApp20Image202025082820at2017.21.27.avif"
"1776069304-97","https://www.kikidrop.com/en/list","GABANE BEAUTY SHOP","Cité saoudit","35 mins","11.76 Km","","4.5","Opens today at09:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-4ub6t8nlB5FUrk1720514926367-WhatsApp20Image202024070920at2011.48.24.jpeg"
"1776069304-98","https://www.kikidrop.com/en/list","MANDI HADHRAMAUT","BAWADI MALL","40 mins","12.02 Km","","3.9","Opens today at10:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-bzzmzyx49fT6MF1725789061073-MandiHaradmout.jpg"
"1776069304-99","https://www.kikidrop.com/en/list","L'héritier","Djibouti","35 mins","12.64 Km","","","","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-cqiscmvj69uOjt1768130853828-IMG20250527WA00568.avif"
"1776069304-100","https://www.kikidrop.com/en/list","Oslaw","Gabode 1","40 mins","13.30 Km","","5.0","Opens today at10:30","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-anm1bd5zs2wOv01733123920602-WhatsApp20Image202024120220at2010.18.31.jpeg"
"1776069304-101","https://www.kikidrop.com/en/list","Smile Lounge","La 5éme aviation prés de la station","58 mins","13.47 Km","","4.4","Opens today at11:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-92bpmkhfP1XGAM1712782640820-Screenshot20240410235643.jpg"
