web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image
"1776069304-123","https://www.kikidrop.com/en/list","KPB FASTFOOD","Q5 boulevard de gaulle","40 mins","13.16 Km","","5.0","Opens today at18:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-c1axfstbekyWwQ1749413021854-FBIMG1558089186253.avif"
"1776069304-124","https://www.kikidrop.com/en/list","PIZZERIA SNACK","-","40 mins","13.34 Km","","4.6","Opens today at17:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/products/thumb-250-250-7x0nmnbg942J3D1604519100798-WhatsAppImage20201104at08.15.17.jpeg"
"1776069304-125","https://www.kikidrop.com/en/list","BENDO'S","ROUTE DE L 'AEROPORT","45 mins","13.45 Km","","4.7","Opens today at18:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-d5yg6i8jbaK5ja1641733737571-Bendos5B205585D.jpg"
"1776069304-126","https://www.kikidrop.com/en/list","L'Historil","centre ville","50 mins","13.51 Km","","3.2","Opens today at12:30","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2wtb1nolaf52M01611167705344-88D94FA29C3F47B68E6A7EEBF4B6E3EB.jpeg"
"1776069304-127","https://www.kikidrop.com/en/list","Vizion Gaming Lounge Club","Centre Ville, Place Menelik","40 mins","13.53 Km","","4.4","Opens today at17:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-lrmerykmBg850x1753447904136-Vision.avif"
"1776069304-128","https://www.kikidrop.com/en/list","Tacos King","Avenue 13","40 mins","13.55 Km","","4.7","Opens today at12:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-ffz1nhmuocw9Xq1683184759482-WhatsApp20Image202023050420at2010.18.39.jpeg"
"1776069304-129","https://www.kikidrop.com/en/list","Italian Shanghai Restaurant","Al Gamil","40 mins","13.58 Km","","","","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-kj8hmftcgeDPWb1732599706153-04b636957ec64b3c9678c848267c1238.jpg"
"1776069304-130","https://www.kikidrop.com/en/list","ADALYA TOBACCO","Boulaos","35 mins","14.05 Km","","5.0","Opens at 12:00 | Apr 14","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-kmv5lagtf7Jou41706771025580-WhatsApp20Image202024013120at2010.29.49.jpeg"
"1776069304-131","https://www.kikidrop.com/en/list","La Taverne Restaurant","Haramous","50 mins","14.18 Km","","5.0","Opens today at11:45","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-i6174kshR6CZZV1695115534032-f4b9a457dbe949519eca28c9a61ddf54.jpg"
"1776069304-132","https://www.kikidrop.com/en/list","Te'Amo Héron","heron","40 mins","14.48 Km","","4.3","Opens today at12:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-jwidxpwnR4yUnX1668541636491-WhatsApp20Image202022111520at2022.42.46.jpeg"
"1776069304-133","https://www.kikidrop.com/en/list","SINGH'S RESTAURANT","-","55 mins","14.58 Km","","4.8","Opens today at12:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-j0bf5tdp69drD31692272101211-WhatsApp20Image202023081720at2014.31.39201.jpeg"
"1776069304-134","https://www.kikidrop.com/en/list","LAC ABBÉ","HÉRON","55 mins","14.58 Km","","4.9","Opens today at19:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-ew1sa2vndk46KA1607414862341-LeLacABBE9362.jpg"
"1776069304-135","https://www.kikidrop.com/en/list","Pizza Di Bassem","djibouti,djibouti","40 mins","14.64 Km","","4.0","Opens today at18:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-l8m8b8x4PbuT4Z1746359376335-AppIcons.avif"
"1776069304-136","https://www.kikidrop.com/en/list","Maymas Restaurant","a cote du 4 arrondissement","45 mins","1.52 Km","","5.0","Opens today at17:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2ggvhtsmnh6IYP1755152758587-Maymas.avif"
"1776069304-137","https://www.kikidrop.com/en/list","Pikaya Kitchen","djibouti","40 mins","10.84 Km","","5.0","Opens today at16:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-bakza1f6f7VNQE1761813014424-Pikaya.avif"
"1776069304-138","https://www.kikidrop.com/en/list","Nasma's Food","djibouti","35 mins","10.98 Km","","4.8","Opens today at17:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-ewulg8y5h3NoNR1757112818543-IMG20250830WA0012.avif"
"1776069304-139","https://www.kikidrop.com/en/list","N.I La Maison du Tiramisu","cite nagad","30 mins","11.37 Km","","4.0","Opens today at12:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-d6rhln9hj3AiaP1749032367232-WhatsApp20Image202025060420at2010.00.35202.avif"
"1776069304-140","https://www.kikidrop.com/en/list","Les Tagines de Hiba","Quartier poudrière","50 mins","11.97 Km","","","Opens at 12:00 | Apr 19","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-116d2brp8fFmCt1775909693174-Yellow20and20Brown20Kitchen20Food20Logo202507300024480000.pdf"
"1776069304-141","https://www.kikidrop.com/en/list","Snow Cream","Mosque moumin'at","45 mins","12.79 Km","","5.0","Opens today at18:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-34zafz1642Jgs91632762421343-SnowCream5B161865D.jpg"
"1776069304-142","https://www.kikidrop.com/en/list","L'as du tacos","Rue nelson mandela","35 mins","12.91 Km","","5.0","Opens today at18:30","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-47xc092t4kQhtf1749024616921-WhatsApp20Image202025060320at2009.27.53201.avif"
"1776069304-143","https://www.kikidrop.com/en/list","Joy's Kitchen","Gabode 4","40 mins","13.00 Km","","4.8","Opens today at12:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-7kylke1i667FYZ1739856425814-Joy.jpg"
"1776069304-144","https://www.kikidrop.com/en/list","Moun's Healthy","Marki restaurant","40 mins","13.29 Km","","5.0","Opens today at17:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-bi992jn1L9YN621749968290316-Mouns20Healthy.avif"
"1776069304-145","https://www.kikidrop.com/en/list","STR’EAT","djibouti","40 mins","13.40 Km","","4.5","Opens today at18:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-im8fitgfA1p88l1764436357561-IMG20251129WA0001.avif"
"1776069304-146","https://www.kikidrop.com/en/list","Mirra Fastfood","Djibouti","40 mins","13.82 Km","","4.8","Opens today at19:00","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-dudhvsugo4GSI81742118490674-IMG20250303WA0020.jpg"
"1776069304-147","https://www.kikidrop.com/en/list","9'Smash burger","Prés du mosquée d'héron","1 hr, 5 mins","14.64 Km","","4.9","Opens at 18:00 | Apr 14","Closed","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-4lbv15cg8bereU1771855812219-WhatsApp20Image202026022320at2017.09.49.avif"
